
Even bad coffee is better than no coffee at all.     -- David Lynch
The only way to discover the limits of the possible is to go beyond them into the impossible.     -- Arthur C. Clarke
An intense anticipation itself transforms possibility into reality; our desires being often but precursors of the things which we are capable of performing.     -- Samuel Smiles
I feel like there's a world of possibilities out there.     -- Liza Minnelli
I am never wrong when it comes to my possibilities.     -- Placido Domingo
I'm somebody who explores extraordinary possibilities, not ordinary ones.     -- Graham Hancock
To believe only possibilities is not faith, but mere philosophy.     -- Thomas Browne
I don't think of myself predicting things. I'm expressing possibilities. Things that could happen. To a large extent it's a question of how badly people want them to.     -- Freeman Dyson
I want to show people what the possibilities are if you take care of yourself and do the right thing.     -- Ben Vereen
You can do anything, literally, right? That's one of the exciting possibilities of the present.     -- Charles Olson
We can change who we are. We can improve ourselves in various ways, and we can give ourselves possibilities.     -- James Heckman
Don't wait for someone to call you up. You can do anything. You have all the possibilities in the world.     -- Luka Sulic
I don't think about what I can't do or what I shouldn't be doing. I just think there are endless possibilities musically, really.     -- Paul Weller
The thing is, if you believe in the unconscious - and I do - there's room for all kinds of possibilities that I don't know how you prove one way or another.     -- Jasper Johns
It seems everything is so full of possibilities one can hardly take it all in.     -- Kenneth Koch
It is the possibility that keeps me going, and though you may call me a dreamer or a fool or any other thing, I believe that anything is possible.     -- Nicholas Sparks
A dream is the bearer of a new possibility, the enlarged horizon, the great hope.     -- Howard Thurman
Everyday holds the possibility of a miracle.     -- Elizabeth David
If we cannot see the possibility of greatness, how can we dream it?     -- Lee Strasberg
I'm always open to the possibility that somebody's got a better idea than I have. It happens with some frequency.     -- William Shatner
There is no such thing as no chance.     -- Henry Ford
Hope is like compassion to me. It's like possibility and living in possibility.     -- Morley
Never lose hope, there are always possibilities if you just look for them.     -- Catherine Pulsifer
You have powers you never dreamed of. You can do things you never thought you could do. there are no limitations in what you can do except the limitations of your own mind.     -- Darwin P. Kingsley
Our aspirations are our possibilities.     -- Samuel Johnson
No matter how dark things seem to be or actually are, raise your sights and see possibilities-always see them for they're always there.     -- Norman Vincent Peale
Believe in the power of possibilities. Believe you can accomplish anything you put your mind to.     -- Shadonna Richards
Go as far as you can see. When you get there, you'll be able to see farther.     -- Zig Ziglar
I'm in my prime. There's no goal too far, no mountain too high.     -- Wilma Rudolph
The difference between stupidity and genius is that genius has its limits.     -- Albert Einstein
Nothing in all the world is more dangerous than sincere ignorance and conscientious stupidity.     -- Martin Luther King Jr.
Stupidity is also a gift of God, but one mustn't misuse it.     -- Pope John Paul II
The trouble with the world is that the stupid are cocksure and the intelligent are full of doubt.      -- Bertrand Russell
The two most common elements in the universe are Hydrogen and stupidity.      -- Harlan Ellison
Against stupidity the gods themselves contend in vain.      -- Friedrich von Schiller
Insanity is just what we call stupidity when it doesn't make sense.      -- Josh Lieb
Strange as it seems, no amount of learning can cure stupidity, and higher education positively fortifies it.      -- Stephen Vizinczey
One should commit no stupidity twice, the variety of choice is, in the end, large enough.      -- Jean-Paul Sartre
Ignorance can be educated. Crazy can be medicated. But there is no cure for stupid.      -- Anonymous
Think of how stupid the average person is, and then realize half of them are stupider than that.      -- George Carlin
It is only the wisest and the stupidest that cannot change.      -- Confucius
It is better to keep your mouth shut and appear stupid than to open it and remove all doubt.      -- Percy Bysshe Shelley
When a stupid man is doing something he is ashamed of, he always declares that it is his duty.      -- George Bernard Shaw
Obstinacy and vehemency in opinion are the surest proofs of stupidity.      -- Bernard Barton
There is nothing worse than aggressive stupidity.      -- Johann Wolfgang von Goethe
Man has made use of his intelligence; he invented stupidity.     -- Remy de Gourmont
He may look like an idiot and talk like an idiot, but don't let that fool you. He really is an idiot.     -- Groucho Marx
To be stupid and selfish and to have good health are the three requirements for happiness, though if stupidity is lacking, the others are useless.      -- Gustave Flaubert
Stupidity isn't punishable by death. If it was, there would be a hell of a population drop.      -- Laurell K. Hamilton
Stupidity is the same as evil if you judge by the results.      -- Margaret Atwood
The more stupid one is, the closer one is to reality. The more stupid one is, the clearer one is. Stupidity is brief and artless, while intelligence squirms and hides itself. Intelligence is unprincipled, but stupidity is honest and straightforward.      -- Fyodor Dostoyevsky
Stupidity combined with arrogance and a huge ego will get you a long way.     -- Chris Lowe
The doctor sees all the weakness of mankind; the lawyer all the wickedness, the theologian all the stupidity.     -- Arthur Schopenhauer
In politics stupidity is not a handicap.     -- Napoleon Bonaparte
People demand freedom of speech as a compensation for the freedom of thought which they seldom use.      -- Soren Kierkegaard
Never underestimate the power of stupid people in large groups.      -- George Carlin
Whenever a man does a thoroughly stupid thing, it is always from the noblest motives.      -- Oscar Wilde
Stupidity is much the same all the world over. A stupid person's notions and feelings may confidently be inferred from those which prevail in the circle by which the person is surrounded. Not so with those whose opinions and feelings are an emanation from their own nature and faculties.      -- John Stuart Mill
For at least two thirds of our miseries spring from human stupidity, human malice and those great motivators and justifiers of malice and stupidity, idealism, dogmatism and proselytizing zeal on behalf of religious or political idols      -- Aldous Huxley
Sleep is the best meditation.     -- Dalai Lama
Sleep is that golden chain that ties health and our bodies together.     -- Thomas Dekker
I love sleep. My life has the tendency to fall apart when I'm awake, you know?     -- Ernest Hemingway
Sleep, those little slices of death - how I loathe them.     -- Edgar Allan Poe
I've always envied people who sleep easily. Their brains must be cleaner, the floorboards of the skull well swept, all the little monsters closed up in a steamer trunk at the foot of the bed.     -- David Benioff
I want to go to sleep in my time machine and wake up eight hours in the future.     -- Jarod Kintz
Sleeping is no mean art: for its sake one must stay awake all day.     -- Friedrich Nietzsche
There is more refreshment and stimulation in a nap, even of the briefest, than in all the alcohol ever distilled.      -- Edward Lucas
The repose of sleep refreshes only the body. It rarely sets the soul at rest. The repose of the night does not belong to us. It is not the possession of our being. Sleep opens within us an inn for phantoms. In the morning we must sweep out the shadows.      -- Gaston Bachelard
Sleep is perverse as human nature, Sleep is perverse as legislature.... So people who go to bed to sleep Must count French premiers or sheep, And people who ought to arise from bed Yawn and go back to sleep instead.     -- Ogden Nash
Sleep is the interest we have to pay on the capital which is called in at death; and the higher the rate of interest and the more regularly it is paid, the further the date of redemption is postponed.      -- Arthur Schopenhauer
Sleep is the golden chain that ties health and our bodies together.      -- Thomas Dekker
The worst thing in the world is to try to sleep and not to.      -- F. Scott Fitzgerald
Sleep lingers all our lifetime about our eyes, as night hovers all day in the boughs of the fir-tree.     -- Ralph Waldo Emerson
Sleep, that deplorable curtailment of the joy of life.     -- Virginia Woolf
Not being able to sleep is terrible. You have the misery of having partied all night... without the satisfaction.      -- Lynn Johnston
The feeling of sleepiness when you are not in bed, and can't get there, is the meanest feeling in the world.     -- Edgar Watson Howe
Sleep is the most moronic fraternity in the world, with the heaviest dues and the crudest rituals.     -- Vladimir Nabokov
And if tonight my soul may find her peace in sleep, and sink in good oblivion, and in the morning wake like a new-opened flower then I have been dipped again in God, and new-created.     -- D.H. Lawrence
Early to bed and early to rise probably indicates unskilled labor.     -- John Ciardi
Sleep: a poor substitute for caffeine!     -- Wally Shawn
Laugh and the world laughs with you; snore, and you sleep alone!     -- Anthony Burgess
To achieve the impossible dream, try going to sleep.     -- Joan Klempner
To sleep is an act of faith.     -- Barbara G. Harrison
He who sleeps half a day has won half a life.     -- Karl Kraus
Sleep is a symptom of caffeine deprivation.     -- Unknown
Don't fight with the pillow, but lay down your head and kick every worriment out of the bed.     -- Edmund Vance Cooke
I love to sleep. Do you? Isn't it great? It really is the best of both worlds. You get to be alive and unconscious.     -- Rita Rudner
Saturday's night sleep is the best sleep according to me because not any tension for the work of Sunday.     -- Unknown
People who say they sleep like a baby usually don't have one.     -- Leo J. Burke
There is nothing so entirely desirable in all the world as a few hours' oblivion.     -- Anne Reeve Aldrich
Sleep is when all the unsorted stuff comes flying out as from a dustbin upset in a high wind.     -- William Golding
Sleep is no longer a healing bath, a recuperation of vital forces, but an oblivion, a nightly brush with annihilation.     -- J. M. Coetzee
God has made sleep to be a sponge by which to rub out fatigue. A man's roots are planted in night as in a soil.     -- Henry Ward Beecher
It is one of life's bitterest truths that bedtime so often arrives just when things are really getting interesting.     -- Daniel Handler
Sleep. To lie down and shut out the noise, the fear, the unceasing misery.     -- Tad Williams
No day is so bad it can't be fixed with a nap.     -- Carrie Snow
Sleep is the gateway to those nightly visitations of the irrational.     -- Gayle Greene
Sleep is the salutary bath that renovates life, the entire being growing younger under its influence; it is a station in the desert of this world; and often, after dull and wearying journeys, one comes to repose in this oasis prepared by divine Providence, enabled the next day to pursue the route with renewed courage and activity.     -- Early Rising
There, in the depths of sleep, is the communion of the living and the dead.     -- Gennady Aygi
Sleep is a hint of lovely oblivion.     -- D. H. Lawrence
Night has brought to those who sleep, only dreams they can not keep.     -- Enya
Sleep is like the unicorn - it is rumored to exist, but I doubt I will see any.     -- Unknown
Sleep hath its own world, and a wide realm of wild reality. And dreams in their development have breath, and tears, and tortures, and the touch of joy.     -- Lord Byron
A nap, my friend, is a brief period of sleep which overtakes superannuated persons when they endeavor to entertain unwelcome visitors or to listen to scientific lectures.     -- George Bernard Shaw
Sleep marks passing time, giving us distance from the things that have hurt us. When a person is wounded they will often fall unconscious. Similarly, someone who hears traumatic news will often swoon or faint. This is the mind's way of protecting itself from pain.     -- Patrick Rothfuss
Get enough sleep every night. An exhausted mind is rarely productive.     -- Unknown
Sleep is an eight-hour peep show of infantile erotica.      -- J. G. Ballard
Each night, when I go to sleep, I die. And the next morning, when I wake up, I am reborn.     -- Mahatma Gandhi
Be a yardstick of quality. Some people aren't used to an environment where excellence is expected.     -- Steve Jobs
Quality is never an accident. It is always the result of intelligent effort.     -- John Ruskin
If you want a quality, act as if you already had it.     -- William James
Associate with men of good quality if you esteem your own reputation; for it is better to be alone than in bad company.     -- George Washington
A cardinal principle of Total Quality escapes too many managers: you cannot continuously improve interdependent systems and processes until you progressively perfect interdependent, interpersonal relationships.     -- Stephen Covey
Give them quality. That's the best kind of advertising.     -- Milton Hersey
Quality is the best business plan.     -- John Lasseter
Quality is more important than quantity. One home run is much better than two doubles.     -- Steve Jobs
Quality is not what happens when what you do matches your intentions. It is what happens when what you do matches your customers' expectations.     -- Guaspari
Total quality management is a journey, not a destination.     -- Berry
The quality of a person's life is in direct proportion to their commitment to excellence, regardless of their chosen field of endeavor.     -- Vince Lombardi
Quality questions create a quality life. Successful people ask better questions, and as a result, they get better answers.     -- Anthony Robbins
The quality of an organization can never exceed the quality of the minds that make it up.     -- Author Unknown
Quality is the result of a carefully constructed cultural environment. It has to be the fabric of the organization, not part of the fabric.     -- Philip Crosby
Quality, quality, quality: never waver from it, even when you don't see how you can afford to keep it up. When you compromise, you become a commodity and then you die.     -- Gary Hirshberg
Quality isn't something that can be argued into an article or promised into it. It must be put there. If it isn't put there, the finest sales talk in the world won't act as a substitute.     -- C. G. Campbell
Quality is a proud and soaring thing.     -- Jessica Julian
Quality is remembered long after the price is forgotten.     -- Gucci Family Slogan
The bitterness of poor quality remains long after low pricing is forgotten!     -- Leon M. Cautillo
The quality, not the longevity, of one's life is what is important.     -- Martin Luther King, Jr.
The quality of expectations determines the quality of our action.     -- Andre Godin
Quality is everyone's responsibility.     -- W. Edwards Deming
Quality begins on the inside then works its way out.     -- Bob Moawad
It is the quality of our work which will please God and not the quantity.     -- Mahatma Gandhi
Quality is not an act, it is a habit.     -- Aristotle
Quality is never an accident; it is always the result of high intention, sincere effort, intelligent direction and skillful execution; it represents the wise choice of many alternatives.     -- William A. Foster
Quality means doing it right when no one is looking.     -- Henry Ford
Even though quality cannot be defined, you know what quality is.     -- Author Unknown
Quality has to be caused, not controlled.     -- Philip Crosby
Quality in a product or service is not what the supplier puts in. It is what the customer gets out and is willing to pay for. A product is not quality because it is hard to make and costs a lot of money, as manufacturers typically believe. This is incompetence. Customers pay only for what is of use to them and gives them value. Nothing else constitutes quality.     -- Peter F. Drucker
Quality is a direct experience independent of and prior to intellectual abstractions.     -- Robert M. Pirsig
When you're out of quality you're out of business.     -- Author Unknown
Quality in a classical Greek sense is how to live with grace and intelligence, with bravery and mercy.     -- Theodore White
Quality is such an attractive banner that sometimes we think we can get away with just waving it, without doing the hard work necessary to achieve it.     -- Philip B. Crosby
Quality is free. It's not a gift, but it's free. The 'unquality' things are what cost money.     -- Philip B. Crosby
Make the workmanship surpass the materials.     -- Ovid
In the race for quality, there is no finish line     -- David T. Kearns
Quality: the standard of something as measured against other things of a similar kind; the degree of excellence of something.     -- Author Unknown
It's always easier to make quality product rather than explaining why product is without quality.     -- Author Unknown
The best is the cheapest.     -- Benjamin Franklin
Quality is what the buyer says it is.     -- Armand V. Feigenbaum
Quality is a sense of appreciation that something is better than something else.     -- John Stewart
Quality begins with the intent, which is fixed by management.     -- W. Edwards Deming
Where quality is the thing sought after, the thing of supreme quality is cheap, whatever the price one has to pay for it.     -- William James
To be successful, you have to have quantity of quality     -- Mark Frauenfelder
Quality is the degree of excellence at an acceptable price     -- Robert A. Broh
Things of quality have no fear of time.     -- Author Unknown
It is quality, rather than quantity, that matters.     -- Seneca The Younger
Quality is decided by the depth at which the work incorporates the alternatives within itself, and so master them.     -- Theodor Adorno
If you believe in unlimited quality and act in all your business dealings with total integrity, the rest will take care of itself.     -- Frank Perdue
If there is no struggle, there is no progress.     -- Frederick Douglass
The best road to progress is freedom's road.     -- John F. Kennedy
Progress is impossible without change, and those who cannot change their minds cannot change anything.     -- George Bernard Shaw
Social progress can be measured by the social position of the female sex.     -- Karl Marx
Technological progress has merely provided us with more efficient means for going backwards.     -- Aldous Huxley
The test of our progress is not whether we add more to the abundance of those who have much it is whether we provide enough for those who have little.     -- Franklin D. Roosevelt
We all want progress, but if you're on the wrong road, progress means doing an about-turn and walking back to the right road; in that case, the man who turns back soonest is the most progressive.     -- C. S. Lewis
Without deviation from the norm, progress is not possible.     -- Frank Zappa
You don't make progress by standing on the sidelines, whimpering and complaining. You make progress by implementing ideas.     -- Shirley Chisholm
Technological progress is like an axe in the hands of a pathological criminal.     -- Albert Einstein
The first condition of progress is the removal of censorship.     -- George Bernard Shaw
Progress lies not in enhancing what is, but in advancing toward what will be.     -- Khalil Gibran
We can have no progress without change, whether it be basketball or anything else.     -- John Wooden
The only real progress lies in learning to be wrong all alone.     -- Albert Camus
The characteristic of scientific progress is our knowing that we did not know.     -- Gaston Bachelard
Scientific progress makes moral progress a necessity; for if man's power is increased, the checks that restrain him from abusing it must be strengthened.     -- Madame De Stael
Progress is not an illusion, it happens, but it is slow and invariably disappointing.     -- George Orwell
Economic progress, in capitalist society, means turmoil.     -- Joseph A. Schumpeter
Progress is the attraction that moves humanity.     -- Marcus Garvey
Little progress can be made by merely attempting to repress what is evil. Our great hope lies in developing what is good.     -- Calvin Coolidge
All progress is precarious, and the solution of one problem brings us face to face with another problem.     -- Martin Luther King, Jr.
True progress quietly and persistently moves along without notice.     -- St. Francis Of Assisi
Progress comes to those who train and train; reliance on secret techniques will get you nowhere.     -- Morihei Ueshiba
The fatal metaphor of progress, which means leaving things behind us, has utterly obscured the real idea of growth, which means leaving things inside us.     -- Gilbert K. Chesterton
Make measurable progress in reasonable time.     -- Jim Rohn
Progress is man's ability to complicate simplicity.     -- Thor Heyerdahl
Progress is what happens when impossibility yields to necessity.     -- Arnold H. Glasgow
What we call progress is the exchange of one nuisance for another nuisance.     -- Havelock Ellis
Human progress has never been shaped by commentators, complainers or cynics.     -- Tony Blair
Progress is measured by richness and intensity of experience - by a wider and deeper apprehension of the significance and scope of human existence.     -- Herbert Read
Everybody's a work in progress. I'm a work in progress. I mean, I've never arrived... I'm still learning all the time.     -- Renee Fleming
Substantial progress toward better things can rarely be taken without developing new evils requiring new remedies.     -- William Howard Taft
Progress would not have been the rarity it is if the early food had not been the late poison.     -- Walter Bagehot
Progress imposes not only new possibilities for the future but new restrictions.     -- Norbert Wiener
Progress is a set of assumptions.     -- Edward Albee
All progress is based upon a universal innate desire on the part of every organism to live beyond its income.     -- Samuel Butler
If progress is to be steady we must have long term guides extending far ahead.     -- Dwight D. Eisenhower
Progress always involves risks. You can't steal second base and keep your foot on first.     -- Frederick Wilcox
Progress is measured by the degree of differentiation within a society.     -- Herbert Read
The concept of progress acts as a protective mechanism to shield us from the terrors of the future.     -- Frank Herbert
Progress is the stride of God.     -- Victor Hugo
When any real progress is made, we unlearn and learn anew what we thought we knew before.     -- Henry David Thoreau
The magnitude of a progress is gauged by the greatness of the sacrifice that it requires.     -- Friedrich Nietzsche
Progress doesn't come from early risers - progress is made by lazy men looking for easier ways to do things.     -- Robert A. Heinlein
Human progress is furthered, not by conformity, but by aberration.     -- H. L. Mencken
The greatest enemy of progress is not stagnation, but false progress.     -- Sydney J. Harris
Sadly, in the name of progress, we have polluted the air, water, soil and the food we eat.     -- Radhanath Swami
All progress is experimental.     -- John Jay Chapman
All progress has resulted from people who took unpopular positions.     -- Adlai E. Stevenson
All progress is initiated by challenging current conceptions, and executed by supplanting existing institutions.     -- George Bernard Shaw
The palest ink is brighter than the best memory     -- Chinese saying. Thanks to Martin C Wojtkiewicz
Anything with scales counts as a fish.      -- Malay (on appearance and reality)
Appearances are deceptive.      -- Italian Proverb
Carve the peg by looking at the hole.      -- Korean (on appropriateness)
Change is inevitable      -- Benjamin Disraeli (1804-1881)
Circumstances alter cases.      -- T. Rymer (1678)
Cutting off a mule's ears doesn't make it a horse.      -- Creole (on authenticity)
Easier said than done.      -- Aesop (c.620-560 BC)
Even monkeys fall out of trees.      -- Japanese Proverb
Even the best laid plans go awry.      -- unknown
Every man has to seek his own way to make himself more noble and to realize his own true worth.      -- Albert Schweitzer
Expect the worst, but hope for the best.      -- unknown
Froth is not beer.      -- Dutch (on appearance and reality)
Give up the ghost.      -- Miguel de Cervantes (1547-1616)
In a crisis, give help first and then advice.      -- Aesop (c.620-560 BC)
It is useless attacking the insensible.      -- Aesop (c.620-560 BC)
It never rains but it pours.      -- unknown
Life is not a dress rehearsal.      -- unknown
Looks can be deceiving.      -- unknown
No man can lose what he never had.      -- George Herbert (1593-1632)
No one goes through life unscathed.      -- unknown
Nothing is black or white.      -- unknown
Nothing is certain but death and taxes.      -- Ben Franklin (1706-1790)
Seeing is believing.      -- unknown
Sometimes, it's too little, too late.      -- unknown
Sometimes, less is more.      -- William Shakespeare (1564-1616)
The best way to predict the future is to create it.      -- unknown; thanks to rapstar.com
The price of your hat is not always the measure of your brain.      -- African American (on appearance and reality)
The rain falls on every roof.      -- African Proverb
The teeth that laugh are also those that bite.      -- Hausa tribe of West Africa (on appearance and reality)
What goes around, comes around.      -- unknown
What goes up must come down.      -- unknown
What is true by lamplight is not always true in sunlight.      -- French (on appearance and reality)
What you see is what you get.      -- unknown
What's done is done.      -- Early 14th Century French Proverb
When the music changes, so does the dance.      -- Hausa tribe of West Africa (on appropriateness)
Wherever you go, you can't get rid of yourself.      -- Polish (on basic truths)
Worrying never changed anything.      -- unknown
You can't beat a dead horse.      -- Richard Trench (1807-1886)
You can't build a relationship with a hammer.      -- unknown
There's nothing more narcissistic than being sure that you are built in the image of an all-powerful Creator-God, and that same God answers your prayers, knows your name, and has a personal relationship with you.     -- David G. McAfee
The greater our own level of narcissism, the more we detest it in others.     -- Steve Maraboli
Narcissus does not fall in love with his reflection because it is beautiful, but because it is his. If it were his beauty that ent hralled him, he would be set free in a few years by its fading.     -- W.H. Auden
Withhold admiration from a narcissist and be disliked. Give it and be treated with indifference.     -- Mason Cooley
The paradox about narcissism is that we all have this streak of egotism. Eighty percent of people think they're better than average.     -- Mark Leary
Whoever loves becomes humble. Those who love have, so to speak, pawned a part of their narcissism.     -- Sigmund Freud
Narcissism and self-deception are survival mechanisms without which many of us might just jump off a bridge.     -- Todd Solondz
I thought narcissism was about self-love till someone told me there is a flip side to it... It is unrequited self-love.     -- Emily Levine
Narcissus weeps to find that his Image does not return his love.     -- Mason Cooley
It is especially painful when narcissists suffer memory loss because they are losing parts of the person they love most.     -- David Brooks
For the most part people are not curious except about themselves.     -- John Steinbeck
The narcissist devours people, consumes their output, and casts the empty, writhing shells aside.     -- Sam Vaknin
No one has probably helped me more with my narcissism than my dog.     -- Tucker Max
A narcissist is someone better looking than you are.     -- Gore Vidal
He that falls in love with himself will have no rivals.     -- Benjamin Franklin
Nobody can be kinder than the narcissist while you react to life in his own terms.     -- Elizabeth Bowen
It is possible to have a strong self-love without any self-satisfaction, rather with a self-discontent which is the more intense because one's own little core of egoistic sensibility is a supreme care.     -- George Eliot
I don't care what you think unless it is about me.     -- Kurt Cobain
There is a difference between supporting someone and feeding someone's narcissism. One is support and the other is not.     -- Fathom
Loving yourself and being in love with yourself are two entirely different things. Differentiate.     -- Fathom
When narcissism is viewed as good; good is viewed as narcissism.     -- Fathom
Self-awareness is not self-centeredness, and spirituality is not narcissism. 'Know thyself' is not a narcissistic pursuit.     -- Marianne Williamson
Hate is the complement of fear and narcissists like being feared. It imbues them with an intoxicating sensation of omnipotence.     -- Sam Vaknin
The difference between narcissism and self-love is a matter of depth. Narcissus falls in love not with the self, but with an image or reflection of the self with the persona, the mask. The narcissist sees himself through the eyes of another, changes his lifestyle to conform with what is admired by others, tailors his behavior and expression of feelings to what will please others. Narcissism is voluntary blindness, an agreement not to look beneath the surface.     -- Sam Keen
Some narcissistic people end up believing their own lies.     -- Unknown
Narcissistic people are always struggling with the fact that the rest of the world doesn't revolve around them     -- Unknown
Self-love for ever creeps out, like a snake, to sting anything which happens . . . to stumble upon it.     -- George Gordon Noel Byron
It is not love that should be depicted as blind, but self-love.     -- Voltaire
To love oneself is the beginning of a life-long romance.     -- Oscar Wilde
Half the harm that is done in this world is due to people who want to feel important. They don't mean to do harm, but the harm [that they cause] does not interest them. Or they do not see it, or they justify it because they are absorbed in the endless struggle to think well of themselves.     -- T. S. Eliot
Narcissists are great con-artists. After all, they succeed in deluding themselves! As a result, very few professionals see through them.     -- Unknown
Self-love is often rather arrogant than blind; it does not hide our faults from ourselves, but persuades us that they escape the notice of others.     -- Samuel Johnson
Self-love depressed becomes self-loathing.     -- Sally Kempton
Self-love seems so often unrequited.     -- Anthony Powell
If ordinary people complain that I speak too much of myself, I complain that they do not even think of themselves.     -- Michel de Montaigne
Since narcissism is fueled by a greater need to be admired than to be liked, psychologists might use that fact as a therapeutic lever - stressing to patients that being known as a narcissist will actually cause them to lose the respect and social status they crave.     -- Jeffrey Kluger
All of nationalism can be understood as a kind of collective narcissism.     -- Geoff Mulgan
The silent killer of all great men and women of achievement - particularly men, I don't know why, maybe it's the testosterone - I think it's narcissism. Even more than hubris. And for women, too. Narcissism is the killer.     -- James Woods
You give up your narcissism, your egotism. That's how you achieve chemistry.     -- Nick Nolte
I think a lot of self-importance is a product of fear. And fear, living in sort of an un-self-examined fear-based life, tends to lead to narcissism and self-importance.     -- Moby
Narcissism is the part of my personality that I am the least proud of, and I certainly don't like to see it highlighted in everybody else I meet.     -- Ben Affleck
If I had it to do all over again . . . I wouldn't change a thing.'. . . the final expression of narcissism, the last gesture of self-congratulation.     -- Steve Erickson
The problem in narcissism is not the high ideals and ambitions, it's the difficulty one encounters when trying to give them body.     -- Thomas Moore
I wonder if the course of narcissism through the ages would have been any different had Narcissus first peered into a cesspool. He probably did.     -- Frank O'Hara
If you're a nobody, just imagine a lot of celebrities are in love with you. Narcissism is the best cure for attention deficit disorder.     -- Bauvard
Shyness has a strange element of narcissism, a belief that how we look, how we perform, is truly important to other people.     -- Andre Dubus
Vanity and narcissism the compulsive need to be admired and praised undermine one's courage, for one then fights on someone else's conviction rather than one's own.     -- Rollo May
If people are really narcissistic or have a need to be seen as more than they really are, or to be admired as having it all together, then they cannot be followed and trusted by others.     -- Henry Cloud
It is not selfish or narcissistic to love yourself. It is your first and foremost responsibility.     -- Alan Cohen
A victim of circumstance is a casualty. A victim of convenience is a narcissist.     -- Alan Robert Neal
Maturity is that time when the mirrors in our mind turn to windows and instead of seeing the reflection of ourselves we see others.     -- Unknown
Maturity is achieved when a person accepts life as full of tension.     -- Joshua Loth Liebman
Maturity is a high price to pay for growing up.     -- Tom Stoppard
Maturity is achieved when a person postpones immediate pleasures for long-term values.     -- Joshua Loth Liebman
Maturity is the ability to think, speak and act your feelings within the bounds of dignity. The measure of your maturity is how spiritual you become during the midst of your frustrations.     -- Samuel Ullman
Maturity is knowing when to be immature.     -- Randall Hall
Maturity is the ability to reap without apology and not complain when things don't go well.     -- Jim Rohn
Maturity begins to grow when you can sense your concern for others outweighing your concern for yourself.     -- John Macnaughton
Maturity is the capacity to endure uncertainty.     -- John Huston Finley
Maturity: Be able to stick with a job until it is finished. Be able to bear an injustice without having to get even. Be able to carry money without spending it. Do your duty without being supervised.     -- Ann Landers
Maturity includes the recognition that no one is going to see anything in us that we don't see in ourselves. Stop waiting for a producer. Produce yourself.     -- Marianne Williamson
To make mistakes is human; to stumble is commonplace; to be able to laugh at yourself is maturity.     -- William Arthur Ward
I believe the sign of maturity is accepting deferred gratification.     -- Peggy Cahn
Maturity consists in no longer being taken in by oneself.     -- Kajetan Von Schlaggenberg
Maturity starts with the willingness to give oneself.     -- Elisabeth Elliot
I guess real maturity, which most of us never achieve, is when you realize that you're not the center of the universe.     -- Katherine Paterson
Age is just a number. Maturity is a choice.     -- Harry Styles
Maturity is not when we start speaking big things. It is when we start understanding small things..     -- Unknown
A person's maturity consists in having found again the seriousness one had as a child, at play.      -- Friedrich Wilhelm Nietzsche
Age is no guarantee of maturity.      -- Lawana Blackwell
Maturity comes not with age but with the acceptance of responsibility. You are only young once but immaturity can last a lifetime!     -- Edwin Louis Cole
Maturity is often more absurd than youth and very frequently is most unjust to youth.     -- Thomas A. Edison
Maturity, one discovers, has everything to do with the acceptance of not knowing.     -- Mark Z. Danielewski
Maturity is when your world opens up and you realize that you are not the center of it.      -- M.J. Croan
Youth ends when egotism does; maturity begins when one lives for others.     -- Hermann Hesse
Maturity is the moment one regains one's innocence.     -- Marty Rubin
Maturity is so often considered to be synonymous with 'adult. But I truly feel that maturity may be defined by the ability to be both an adult and a child.     -- Gina Marinello
Maturity is only a short break in adolescence.     -- Jules Feiffer
Youth condemns; maturity condones.     -- Amy Lowell
Age' is the acceptance of a term of years. But maturity is the glory of years.     -- Martha Graham
If growing up is the process of creating ideas and dreams about what life should be, then maturity is letting go again.     -- Mary Beth Danielson
Maturity is the time of life when, if you had the time, you'd have the time of your life.      -- Anonymous
A mark of maturity seems to be the range and extent of one's feeling of self-involvement in abstract ideals.     -- Gordon Wallport
Maturity implies otherness... The art of living is the art of living with.     -- Julius Gordon
I would say that the surest measure of a man's or a woman's maturity is the harmony, style, joy, and dignity he creates in his marriage, and the pleasure and inspiration he provides for his spouse.     -- Benjamin Spock
Maturity is developed by respecting others and accepting responsibility for violating that respect.     -- Wes Fessler
Maturity is a bitter disappointment for which no remedy exists, unless laughter can be said to remedy anything.      -- Kurt Vonnegut
I think part of maturity is knowing who you are.     -- Rob Lowe
Maturity is to face, and not evade, every fresh crisis that comes.      -- Fritz Kunkel
Maturity is when we can treat ourselves in our own way rather than within the automatic ways of our parents in childhood.     -- Hugh Missildine
Maturity is having the ability to escape categorization.     -- K. Rexroth
Maturity begins the day you take responsibility for your own feelings.     -- Kevin Everett Fitzmaurice
Maturity comes when keeping a secret gives you more satisfaction than passing it along.     -- John M. Henry
Maturity is the art of living in peace with that which we cannot change.     -- Anonymous
One sign of maturity is knowing when to ask for help.     -- Dennis Wholey
That's maturity-when you realize that you've finally arrived at a state of ignorance as profound as your parents.     -- Elizabeth Peters
Maturity begins when you feel you are right about something without feeling the need to prove someone else wrong.     -- Sydney J. Harris
It takes a long time to bring excellence to maturity.     -- Publilius Syrus
Maturity is the ability to discern the ignorant without discussing them.     -- Vikrant Parsai
The awareness of the ambiguity of one's highest achievements (as well as one's deepest failures) is a definite symptom of maturity.     -- Paul Johannes Tillich
